#num	interval	wild	domes
1	0.00-0.05	0.41212924146906	0.00222592598704416
2	0.05-0.10	0.363924178907058	0.0197243812237459
3	0.10-0.15	0.0166593064311391	0.0107922572979752
4	0.15-0.20	0.0502492879772153	0.000522560878342327
5	0.20-0.25	0.150904882289567	0.0281944513202455
6	0.25-0.30	0.00582077293140047	0.039816388609273
7	0.30-0.35	0.000312329994559826	0.00353691205025385
8	0.35-0.40	0	0.00706465636579995
9	0.40-0.45	0	0.0459954418023033
10	0.45-0.50	0	0.0166770262068864
11	0.50-0.55	0	0.014063305041704
12	0.55-0.60	0	0.000739836190916242
13	0.60-0.65	0	0.000665577539783385
14	0.65-0.70	0	0.00072425104191305
15	0.70-0.75	0	0.000903021868714372
16	0.75-0.80	0	0.00337372637245572
17	0.80-0.85	0	0.00124314482637227
18	0.85-0.90	0	0.0268852988039773
19	0.90-0.95	0	0.118482886589621
20	0.95-1.00	0	0.658368949982673
