#num	interval	wild	domes
1	0.00-0.05	0.7410416095255	0.137833672240283
2	0.05-0.10	0.156084122553686	0.140419726543106
3	0.10-0.15	0.0601817492457366	0.100381216352152
4	0.15-0.20	0.0184653361514012	0.0918675283969485
5	0.20-0.25	0.0160734741291686	0.0536897684639528
6	0.25-0.30	0.00610065987964054	0.0421971531816239
7	0.30-0.35	0.00205304851486746	0.0335323602170731
8	0.35-0.40	0	0.0410660242545126
9	0.40-0.45	0	0.0426634200676087
10	0.45-0.50	0	0.0512548191704767
11	0.50-0.55	0	0.034227443260069
12	0.55-0.60	0	0.0359586749385866
13	0.60-0.65	0	0.0422834989012507
14	0.65-0.70	0	0.0582358706023046
15	0.70-0.75	0	0.0369127951404629
16	0.75-0.80	0	0.0180721591178921
17	0.80-0.85	0	0.0238314186170006
18	0.85-0.90	0	0.00603988308789563
19	0.90-0.95	0	0.00243926657945749
20	0.95-1.00	0	0.00709330086734275
