#num	interval	wild	domes
1	0.00-0.05	0.538699698918512	0.0349243792691931
2	0.05-0.10	0.257323683426686	0.0688284369576771
3	0.10-0.15	0.0456288563540297	0.0472551998618745
4	0.15-0.20	0.0410369903482596	0.0511376564517715
5	0.20-0.25	0.0791423460778851	0.0502359572807353
6	0.25-0.30	0.0109871951952707	0.039696292859733
7	0.30-0.35	0.00654327643618856	0.0269589477812333
8	0.35-0.40	0.0186629655622821	0.04517234231979
9	0.40-0.45	0.00197498768088663	0.0488800313737277
10	0.45-0.50	0	0.0285525406513932
11	0.50-0.55	0	0.0297020382369417
12	0.55-0.60	0	0.0248313429956422
13	0.60-0.65	0	0.026223573270023
14	0.65-0.70	0	0.0223419609677393
15	0.70-0.75	0	0.0157299225239472
16	0.75-0.80	0	0.0300743690744202
17	0.80-0.85	0	0.0158185727233468
18	0.85-0.90	0	0.0269868092724731
19	0.90-0.95	0	0.0568446185740742
20	0.95-1.00	0	0.309805007554263
