#win	unknown	ances0	ances1	ances2	ances3	ances4
40000001	0.9600	0.0120	0.0144	0.0005	0.0075	0.0055
41000001	0.5200	0.2077	0.1254	0.0042	0.0885	0.0541
42000001	0.9200	0.0000	0.0793	0.0000	0.0007	0.0000
44000001	0.7201	0.0604	0.1857	0.0314	0.0000	0.0023
45000001	0.4000	0.0695	0.4477	0.0828	0.0000	0.0000
46000001	0.2800	0.2069	0.2585	0.2171	0.0368	0.0007
47000001	0.6000	0.2080	0.1452	0.0468	0.0000	0.0000
48000001	0.0800	0.0985	0.1983	0.0552	0.2573	0.3106
49000001	0.0000	0.0177	0.1750	0.0260	0.3412	0.4400
50000001	0.0000	0.0070	0.1331	0.0060	0.3904	0.4635
51000001	0.0000	0.0079	0.1446	0.0042	0.3437	0.4996
52000001	0.0000	0.0072	0.1470	0.0042	0.3408	0.5009
53000001	0.0801	0.0070	0.1458	0.0035	0.2992	0.4644
54000001	0.0000	0.0067	0.1690	0.0054	0.3528	0.4661
55000001	0.0000	0.0021	0.1804	0.0074	0.5436	0.2665
56000001	0.0200	0.1254	0.1304	0.0666	0.4909	0.1667
57000001	0.5200	0.0925	0.0956	0.0583	0.1249	0.1087
58000001	0.7600	0.0077	0.0726	0.1345	0.0218	0.0033
