#win	unknown	time0	time1	time2	time3	time4
40000001	0.9600	0.0400	0.0000	0.0000	0.0000	0.0000
41000001	0.5200	0.4800	0.0000	0.0000	0.0000	0.0000
42000001	0.9200	0.0800	0.0000	0.0000	0.0000	0.0000
44000001	0.7200	0.2800	0.0000	0.0000	0.0000	0.0000
45000001	0.4000	0.6000	0.0000	0.0000	0.0000	0.0000
46000001	0.2800	0.7200	0.0000	0.0000	0.0000	0.0000
47000001	0.6000	0.4000	0.0000	0.0000	0.0000	0.0000
48000001	0.0800	0.8600	0.0600	0.0000	0.0000	0.0000
49000001	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
50000001	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000
51000001	0.0000	0.9400	0.0600	0.0000	0.0000	0.0000
52000001	0.0000	0.7400	0.1600	0.1000	0.0000	0.0000
53000001	0.0800	0.8200	0.0800	0.0200	0.0000	0.0000
54000001	0.0000	0.9600	0.0400	0.0000	0.0000	0.0000
55000001	0.0000	0.9400	0.0600	0.0000	0.0000	0.0000
56000001	0.0200	0.9000	0.0400	0.0400	0.0000	0.0000
57000001	0.5200	0.3600	0.0600	0.0600	0.0000	0.0000
58000001	0.7600	0.2400	0.0000	0.0000	0.0000	0.0000
