#chr	st	end	value
chr1H	100001	200000	23.6506525566226
chr1H	120001	220000	23.9474785890208
chr1H	140001	240000	22.6707595567522
chr1H	660001	760000	18.458186363365
chr1H	680001	780000	18.0267631370614
chr1H	700001	800000	17.8714310846745
chr1H	720001	820000	16.7604069569838
chr1H	740001	840000	16.8210912001125
chr1H	1440001	1540000	17.8181046144018
chr1H	1460001	1560000	22.9375341767302
chr1H	1480001	1580000	23.033563341678
chr1H	1500001	1600000	22.633649177353
chr1H	1520001	1620000	24.5249451407794
chr1H	1540001	1640000	27.9209092682351
chr1H	1560001	1660000	25.9621269975519
chr1H	1580001	1680000	28.9449247483292
chr1H	1660001	1760000	25.3271878634477
chr1H	1680001	1780000	27.2473775380572
chr1H	1700001	1800000	28.084905367912
chr1H	2020001	2120000	19.8215629511823
chr1H	2060001	2160000	20.6516543035138
chr1H	2080001	2180000	24.2581120697435
chr1H	2100001	2200000	24.7634894045298
chr1H	2120001	2220000	25.1404564468948
chr1H	2160001	2260000	24.7697658187141
chr1H	2180001	2280000	21.4085744902338
chr1H	2200001	2300000	20.4482593119371
chr1H	2220001	2320000	22.2328330297546
chr1H	2240001	2340000	23.9588426801959
chr1H	4360001	4460000	27.3186648008218
chr1H	4380001	4480000	25.9432729345506
chr1H	4400001	4500000	24.2774033423798
chr1H	4420001	4520000	24.2939313890099
chr1H	4840001	4940000	26.5001703872536
chr1H	4860001	4960000	29.832763187473
chr1H	4880001	4980000	26.3905212812261
chr1H	4900001	5000000	24.9177529545774
chr1H	4920001	5020000	20.2965049693153
chr1H	4980001	5080000	27.7200265859214
chr1H	5000001	5100000	31.6565984087741
chr1H	5020001	5120000	32.1275911249709
chr1H	5040001	5140000	33.1110888124701
chr1H	5060001	5160000	31.3080097187217
chr1H	5080001	5180000	31.6358422812214
chr1H	5100001	5200000	29.5049306249733
chr1H	5300001	5400000	26.9726228407588
chr1H	5320001	5420000	28.413631196498
chr1H	5340001	5440000	27.2655809516339
chr1H	5460001	5560000	17.6046889144708
chr1H	5480001	5580000	19.775162715393
chr1H	5620001	5720000	29.8066179926356
chr1H	5640001	5740000	29.1883796919643
chr1H	5840001	5940000	22.7203955814163
chr1H	5860001	5960000	27.1073941559728
chr1H	5880001	5980000	27.6539178042786
chr1H	5900001	6000000	26.3851951104993
chr1H	5920001	6020000	20.3040049997015
chr1H	6680001	6780000	24.3880848334462
chr1H	6700001	6800000	21.8657960273615
chr1H	6720001	6820000	20.9271069434958
chr1H	6740001	6840000	21.046906844613
chr1H	6760001	6860000	18.458186363365
chr1H	6780001	6880000	21.6464185534007
chr1H	6800001	6900000	21.2768100447778
chr1H	6840001	6940000	21.5971706389432
chr1H	7540001	7640000	22.4118510774454
chr1H	7560001	7660000	22.9936899856053
chr1H	7580001	7680000	21.05996807159
chr1H	7700001	7800000	21.0407480774656
chr1H	7720001	7820000	22.4118510774454
chr1H	7740001	7840000	22.3966625436292
chr1H	7760001	7860000	17.9502663033499
chr1H	7780001	7880000	21.0935068964192
chr1H	7800001	7900000	22.4271231163181
chr1H	7820001	7920000	20.8724220928459
chr1H	7920001	8020000	18.6694994242244
chr1H	7940001	8040000	21.3230973737857
chr1H	7960001	8060000	20.5029782440247
chr1H	7980001	8080000	19.5317014103705
chr1H	8000001	8100000	18.3949519884843
chr1H	8020001	8120000	17.3591052430962
chr1H	8300001	8400000	24.8003370559029
chr1H	8320001	8420000	20.4248563768519
chr1H	8460001	8560000	22.7514571625899
chr1H	8480001	8580000	25.9500215551832
chr1H	8500001	8600000	25.8375323718616
chr1H	8520001	8620000	23.4741683584493
chr1H	8640001	8740000	24.2968169688111
chr1H	8660001	8760000	26.3848507250802
chr1H	8680001	8780000	25.0746237177684
chr1H	8820001	8920000	25.2488976929588
chr1H	8840001	8940000	28.1936003749745
chr1H	8860001	8960000	29.5049306249733
chr1H	8880001	8980000	26.8999074561604
chr1H	8900001	9000000	26.6246879961179
chr1H	8920001	9020000	25.5954246793379
chr1H	9040001	9140000	22.0058611430885
chr1H	9260001	9360000	24.9635836514923
chr1H	9280001	9380000	27.8657678124748
chr1H	9300001	9400000	27.3740189687252
chr1H	9320001	9420000	27.0461864062255
chr1H	9340001	9440000	24.4235259062279
chr1H	9360001	9460000	26.2266049999763
chr1H	9380001	9480000	25.407023593727
chr1H	9400001	9500000	25.8987724374766
chr1H	9420001	9520000	27.7018515312249
chr1H	9440001	9540000	28.5214329374742
chr1H	9560001	9660000	26.0496431809725
chr1H	9860001	9960000	22.8386911090244
chr1H	9880001	9980000	23.5701462947023
chr1H	9900001	10000000	22.2664417878795
chr1H	10020001	10120000	20.2972424729339
chr1H	10040001	10140000	16.666841380214
chr1H	10060001	10160000	14.51059902304
chr1H	10140001	10240000	19.143902679347
chr1H	10160001	10260000	23.3847505970246
chr1H	10180001	10280000	23.448711641716
chr1H	10200001	10300000	21.858540144961
chr1H	10220001	10320000	20.4343348059061
chr1H	10760001	10860000	34.066045866085
chr1H	10780001	10880000	27.8335122935305
chr1H	11220001	11320000	15.7671017044151
chr1H	11240001	11340000	15.4182396395066
chr1H	11260001	11360000	14.1721999460317
chr1H	11460001	11560000	27.5580446583736
chr1H	11760001	11860000	28.9583374057226
chr1H	11780001	11880000	30.3444078011565
chr1H	11800001	11900000	29.9966794687229
chr1H	11820001	11920000	29.1770980624736
chr1H	11840001	11940000	27.3556417562937
chr1H	12020001	12120000	23.7834547630686
chr1H	12040001	12140000	23.9474785890208
chr1H	13300001	13400000	28.8492654999739
chr1H	13320001	13420000	29.5049306249733
chr1H	13340001	13440000	29.3410143437235
chr1H	13360001	13460000	30.1605957499727
chr1H	13380001	13480000	31.4719259999715
chr1H	14580001	14680000	19.7702338200218
chr1H	14600001	14700000	19.741163787159
chr1H	14620001	14720000	22.9361092100714
chr1H	14640001	14740000	28.3575166562243
chr1H	14660001	14760000	29.1770980624736
chr1H	14680001	14780000	28.3948264201184
chr1H	15000001	15100000	29.6688469062232
chr1H	15020001	15120000	29.6688469062232
chr1H	15040001	15140000	29.3410143437235
chr1H	15060001	15160000	27.2343984081542
chr1H	15080001	15180000	23.7195299359924
chr1H	15320001	15420000	22.7725159452429
chr1H	15340001	15440000	23.4708680813696
chr1H	15360001	15460000	28.5401457156824
chr1H	15380001	15480000	28.0296840937246
chr1H	15400001	15500000	28.5214329374742
chr1H	15420001	15520000	29.6688469062232
chr1H	15440001	15540000	28.8492654999739
chr1H	15460001	15560000	27.3740189687252
chr1H	15480001	15580000	25.7077115300109
chr1H	16380001	16480000	20.0109067661681
chr1H	16400001	16500000	18.8503723437329
chr1H	16420001	16520000	18.1947072187335
chr1H	16440001	16540000	20.8173677187312
chr1H	16460001	16560000	19.9276085913324
chr1H	20040001	20140000	24.0956933437282
chr1H	20060001	20160000	23.9317770624784
chr1H	20080001	20180000	24.0956933437282
chr1H	20100001	20200000	24.2596096249781
chr1H	20380001	20480000	14.1845400298518
chr1H	20400001	20500000	14.3534036016358
chr1H	20420001	20520000	14.1393827080569
chr1H	20440001	20540000	14.766549090692
chr1H	20460001	20560000	20.818182178357
chr1H	20500001	20600000	24.8152731566016
chr1H	20520001	20620000	24.5001575278382
chr1H	20540001	20640000	26.2559517678369
chr1H	20580001	20680000	23.3789227024071
chr1H	20600001	20700000	22.7514571625899
chr1H	20620001	20720000	23.978627193321
chr1H	20640001	20740000	27.6237811654144
chr1H	20660001	20760000	26.767580737494
chr1H	20820001	20920000	18.2409172273614
chr1H	20840001	20940000	26.5893750292439
chr1H	20860001	20960000	26.571859804256
chr1H	20880001	20980000	26.5893750292439
chr1H	20900001	21000000	27.7200265859214
chr1H	20920001	21020000	26.8822701249757
chr1H	20940001	21040000	21.6369491249804
chr1H	20960001	21060000	22.2926142499798
chr1H	20980001	21080000	21.8008654062303
chr1H	21000001	21100000	19.6699537499822
chr1H	21020001	21120000	18.2307113457299
chr1H	21040001	21140000	17.7616583682929
chr1H	21060001	21160000	11.661085635557
chr1H	21080001	21180000	10.6827451836276
chr1H	21100001	21200000	9.69664562821579
chr1H	21120001	21220000	10.6827451836276
chr1H	21140001	21240000	10.6685764006225
chr1H	21160001	21260000	14.4436111269967
chr1H	21180001	21280000	14.7524653124867
chr1H	21200001	21300000	14.5885490312368
chr1H	21220001	21320000	15.0269912633532
chr1H	21240001	21340000	15.3153648276288
chr1H	21260001	21360000	13.1745073786054
chr1H	21280001	21380000	13.4901820515754
chr1H	21300001	21400000	17.1541821149662
chr1H	21320001	21420000	17.3207275723931
chr1H	21340001	21440000	18.1402041200844
chr1H	21360001	21460000	17.8007445408573
chr1H	21380001	21480000	23.4708680813696
chr1H	21400001	21500000	24.0956933437282
chr1H	21420001	21520000	23.7834547630686
chr1H	21440001	21540000	23.432588871192
chr1H	21460001	21560000	18.7438564680185
chr1H	21480001	21580000	15.1977214605556
chr1H	21500001	21600000	11.8204500248765
chr1H	21520001	21620000	12.6647678837963
chr1H	21540001	21640000	12.8336314555802
chr1H	21560001	21660000	13.3618657714659
