CHROM	start	end	value
chr1H	80001	180000	0.697860962566844
chr1H	100001	200000	0.999999999999999
chr1H	120001	220000	0.999999999999999
chr1H	140001	240000	0.954545454545454
chr1H	640001	740000	0.902215431627196
chr1H	660001	760000	0.908708938120702
chr1H	680001	780000	0.908708938120702
chr1H	700001	800000	0.908708938120702
chr1H	720001	820000	0.908708938120702
chr1H	740001	840000	0.850267379679144
chr1H	1460001	1560000	0.830404889228418
chr1H	1480001	1580000	0.77196333078686
chr1H	1500001	1600000	0.784950343773873
chr1H	1520001	1620000	0.993506493506493
chr1H	1540001	1640000	0.999999999999999
chr1H	1560001	1660000	0.974025974025973
chr1H	1580001	1680000	0.987012987012986
chr1H	1700001	1800000	0.967532467532466
chr1H	2160001	2260000	0.96103896103896
chr1H	2180001	2280000	0.967532467532467
chr1H	2200001	2300000	0.954545454545454
chr1H	4340001	4440000	0.837662337662336
chr1H	4360001	4460000	0.850649350649349
chr1H	4380001	4480000	0.83116883116883
chr1H	4840001	4940000	0.74637127578304
chr1H	4860001	4960000	0.811688311688311
chr1H	4880001	4980000	0.811688311688311
chr1H	4900001	5000000	0.766233766233765
chr1H	4980001	5080000	0.863636363636363
chr1H	5000001	5100000	0.909090909090908
chr1H	5020001	5120000	0.935064935064933
chr1H	5040001	5140000	0.935064935064933
chr1H	5060001	5160000	0.935064935064933
chr1H	5080001	5180000	0.935064935064933
chr1H	5100001	5200000	0.905653170359051
chr1H	5320001	5420000	0.902215431627195
chr1H	5480001	5580000	0.700916730328495
chr1H	5640001	5740000	0.879297173414819
chr1H	5840001	5940000	0.896103896103895
chr1H	5860001	5960000	0.935064935064933
chr1H	5880001	5980000	0.980519480519479
chr1H	5900001	6000000	0.863636363636363
chr1H	7540001	7640000	0.928189457601222
chr1H	7560001	7660000	0.999999999999999
chr1H	7580001	7680000	0.925133689839572
chr1H	7720001	7820000	0.999999999999999
chr1H	7740001	7840000	0.999999999999999
chr1H	7760001	7860000	0.999999999999999
chr1H	7780001	7880000	0.999999999999999
chr1H	7800001	7900000	0.999999999999999
chr1H	7960001	8060000	0.967532467532467
chr1H	8000001	8100000	0.938120702826585
chr1H	8020001	8120000	0.967532467532467
chr1H	8280001	8380000	0.788388082505729
chr1H	8300001	8400000	0.909090909090909
chr1H	8460001	8560000	0.694805194805194
chr1H	8480001	8580000	0.714285714285714
chr1H	8500001	8600000	0.694805194805194
chr1H	8640001	8740000	0.551948051948052
chr1H	8660001	8760000	0.603896103896104
chr1H	8680001	8780000	0.577922077922078
chr1H	8820001	8920000	0.785714285714285
chr1H	8840001	8940000	0.818181818181817
chr1H	8860001	8960000	0.818181818181817
chr1H	8880001	8980000	0.870129870129869
chr1H	8900001	9000000	0.870129870129869
chr1H	8920001	9020000	0.870129870129869
chr1H	9280001	9380000	0.999999999999999
chr1H	9300001	9400000	0.999999999999999
chr1H	9320001	9420000	0.999999999999999
chr1H	9340001	9440000	0.909090909090908
chr1H	9360001	9460000	0.96103896103896
chr1H	9380001	9480000	0.823529411764705
chr1H	9400001	9500000	0.823529411764705
chr1H	9420001	9520000	0.823529411764705
chr1H	9440001	9540000	0.974025974025973
chr1H	9500001	9600000	0.873185637891519
chr1H	9840001	9940000	0.736440030557677
chr1H	9860001	9960000	0.74942704354469
chr1H	9880001	9980000	0.749809014514897
chr1H	9900001	10000000	0.74331550802139
chr1H	10020001	10120000	0.800993124522536
chr1H	10040001	10140000	0.680290297937356
chr1H	10060001	10160000	0.628342245989305
chr1H	10100001	10200000	0.618411000763942
chr1H	10120001	10220000	0.686783804430863
chr1H	10140001	10240000	0.680290297937357
chr1H	10160001	10260000	0.712757830404889
