CHROM	start	end	value
chr1H	100001	200000	6.7209480749428
chr1H	120001	220000	6.74542158511022
chr1H	140001	240000	6.66934049101271
chr1H	660001	760000	6.0558239030262
chr1H	680001	780000	6.02837494834895
chr1H	700001	800000	5.86329937695555
chr1H	720001	820000	5.84762989832398
chr1H	740001	840000	5.85436932165249
chr1H	1440001	1540000	6.15898857661871
chr1H	1460001	1560000	6.64683074342295
chr1H	1480001	1580000	6.6519983319684
chr1H	1500001	1600000	6.61840840167782
chr1H	1520001	1620000	6.72470451830836
chr1H	1540001	1640000	7.04162763703147
chr1H	1560001	1660000	6.82569194326892
chr1H	1580001	1680000	7.1263068092116
chr1H	1660001	1760000	6.8854542727108
chr1H	1680001	1780000	7.0601362942783
chr1H	1700001	1800000	7.06754367197548
chr1H	2020001	2120000	6.39108568077545
chr1H	2060001	2160000	6.471636069147
chr1H	2080001	2180000	6.87675155269438
chr1H	2100001	2200000	6.93652526121954
chr1H	2120001	2220000	7.01973692842577
chr1H	2160001	2260000	6.79597062262544
chr1H	2180001	2280000	6.30503924943159
chr1H	2200001	2300000	6.19981791464493
chr1H	2220001	2320000	6.50802714209457
chr1H	2240001	2340000	6.66437770042812
chr1H	4360001	4460000	7.01847889639893
chr1H	4380001	4480000	6.91749357079844
chr1H	4400001	4500000	6.78004797608258
chr1H	4420001	4520000	6.80431896153423
chr1H	4840001	4940000	6.98985502725021
chr1H	4860001	4960000	7.24874204796446
chr1H	4880001	4980000	6.92542953664666
chr1H	4900001	5000000	6.81125888710724
chr1H	4920001	5020000	6.45470047547631
chr1H	4980001	5080000	7.10468671107336
chr1H	5000001	5100000	7.38116437298842
chr1H	5020001	5120000	7.40218154032294
chr1H	5040001	5140000	7.46910078925573
chr1H	5060001	5160000	7.31709436186481
chr1H	5080001	5180000	7.35033835334076
chr1H	5100001	5200000	7.1502089805706
chr1H	5300001	5400000	6.98869207264852
chr1H	5320001	5420000	7.08453237188772
chr1H	5340001	5440000	7.00682221907787
chr1H	5460001	5560000	6.00417534180189
chr1H	5480001	5580000	6.21625265696744
chr1H	5620001	5720000	7.24831047183321
chr1H	5640001	5740000	7.21087591685434
chr1H	5840001	5940000	6.69991912413727
chr1H	5860001	5960000	7.0065695752898
chr1H	5880001	5980000	7.04282600741951
chr1H	5900001	6000000	6.95828630578319
chr1H	5920001	6020000	6.45190466680494
chr1H	6680001	6780000	6.81524197767647
chr1H	6700001	6800000	6.36683833126157
chr1H	6720001	6820000	6.27425205291015
chr1H	6740001	6840000	6.29274934422488
chr1H	6760001	6860000	6.04069447310267
chr1H	6780001	6880000	6.42788296860887
chr1H	6800001	6900000	6.38955172888213
chr1H	6840001	6940000	6.48689588793822
chr1H	7540001	7640000	6.27468565084558
chr1H	7560001	7660000	6.35914374914665
